foodId,locationId,establishmentId,stallId,genreId,foodName,Ratings,imageId
1,1,1,1,3,Butter Chicken,4.36,https://www.licious.in/blog/wp-content/uploads/2020/10/butter-chicken--750x750.jpg
2,1,1,1,3,Chicken Tikka Masala,3.63,https://www.allrecipes.com/thmb/1ul-jdOz8H4b6BDrRcYOuNmJgt4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/239867chef-johns-chicken-tikka-masala-ddmfs-3X4-0572-e02a25f8c7b745459a9106e9eb13de10.jpg
3,1,1,1,3,Tandoori Chicken,3.46,https://thebigmansworld.com/wp-content/uploads/2022/11/tandoori-chicken-recipe.jpg
4,1,1,1,3,Rogan Josh ,3.2,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/Kashmiri_Rogan_Josh.jpg
5,1,1,1,3,Palak Paneer ,1.16,https://healthynibblesandbits.com/wp-content/uploads/2020/01/Saag-Paneer-FF.jpg
6,1,1,1,3,Chana Masala ,2.39,https://www.vegrecipesofindia.com/wp-content/uploads/2021/07/chana-masala-2.jpg
7,1,1,1,3,Vegetable Biryani,0.4,https://img.taste.com.au/_L7m5vxs/taste/2016/11/vegetable-biryani-102620-1.jpeg
8,1,1,1,3,Dal Makhani ,4.04,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/dal-makhani-recipe.jpg
9,1,1,1,3,Aloo Gobi ,2.42,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/03/aloo-gobi-recipe.jpg
10,1,1,1,3,Malai Kofta ,2.69,https://www.cookwithmanali.com/wp-content/uploads/2020/03/Malai-Kofta-Recipe.jpg
11,1,1,1,3,Naan (Indian bread),2.46,https://www.thespruceeats.com/thmb/MReCj8olqrCsPaGvikesPJie02U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/naan-leavened-indian-flatbread-1957348-final-08-116a2e523f6e4ee693b1a9655784d9b9.jpg
12,1,1,1,3,Samosas (Deep-fried pastry filled with savory filling),1.64,https://images.squarespace-cdn.com/content/v1/612d4825ee7c3b7ba3e215b7/1664429824786-LS36NN76WGEAM27GBOSZ/samosa.jpg
13,1,1,1,3,Chicken Biryani,3.4,https://norecipes.com/wp-content/uploads/2017/05/chicken-biryani-006.jpg
14,1,1,1,3,Fish Curry,4.19,https://vismaifood.com/storage/app/uploads/public/daa/96d/7bc/thumb__700_0_0_0_auto.jpg
15,1,1,1,3,Pani Puri (Hollow puris filled with spicy water),3.85,https://aromaticessence.co/wp-content/uploads/2020/03/pani_puri_5.jpg-320x321.jpeg
16,1,1,1,8,"Margherita Pizza (Tomato sauce, mozzarella cheese, and basil)",3.79,https://cdn.loveandlemons.com/wp-content/uploads/2019/09/margherita-pizza.jpg
17,1,1,1,8,Pepperoni Pizza,4.57,https://sipbitego.com/wp-content/uploads/2021/08/Pepperoni-Pizza-Recipe-Sip-Bite-Go-500x375.jpg
18,1,1,1,8,BBQ Chicken Pizza,2.02,https://sallysbakingaddiction.com/wp-content/uploads/2014/03/Homemade-BBQ-Chicken-Pizza.jpg
19,1,1,1,8,Veggie Supreme Pizza (Assorted vegetables),3.46,https://i0.wp.com/www.thursdaynightpizza.com/wp-content/uploads/2022/06/veggie-pizza-side-view-out-of-oven.png?resize=720%2C480&ssl=1
20,1,1,1,8,"Hawaiian Pizza (Ham, pineapple, and cheese)",2.54,https://www.jessicagavin.com/wp-content/uploads/2020/07/hawaiian-pizza-16-1200.jpg
21,1,1,1,8,"Four Cheese Pizza (Mozzarella, cheddar, feta, and Parmesan)",0.61,https://recipes.timesofindia.com/thumb/59123476.cms?width=1200&height=900
22,1,1,1,8,"Meat Lover's Pizza (Assorted meats like pepperoni, sausage, and bacon)",0.49,https://www.jessicagavin.com/wp-content/uploads/2022/02/meat-lovers-pizza-28-1200.jpg
23,1,1,1,8,Spinach and Feta Pizza,2.99,https://www.kingarthurbaking.com/sites/default/files/recipe_legacy/3843-3-large.jpg
24,1,1,1,8,"Chicken Tikka Pizza (Chicken tikka, onions, and peppers)",4.73,https://rasamalaysia.com/wp-content/uploads/2012/06/chicken-tikka-masala-pizza-thumb.jpg
25,1,1,1,8,Mushroom and Olive Pizza,1.51,https://loveandgoodstuff.com/wp-content/uploads/2020/10/pizza-capricciosa-1200x1200.jpg
26,1,1,1,8,"Paneer Tikka Pizza (Marinated cottage cheese, onions, and peppers)",3.65,https://www.vegrecipesofindia.com/wp-content/uploads/2018/05/paneer-pizza-recipe-1.jpg
27,1,1,1,8,"Mediterranean Pizza (Olives, sun-dried tomatoes, feta cheese)",3.04,https://www.acouplecooks.com/wp-content/uploads/2019/06/Mediterranean-Pizza-001-800x1000.jpg
28,1,1,1,8,"Buffalo Chicken Pizza (Spicy chicken, buffalo sauce, and blue cheese)",1.75,https://hips.hearstapps.com/hmg-prod/images/190226-buffalo-chicken-pizza-370-1552084943.jpg
